id,sport,gender,matchType,iit,status,matchNo,pool,team1,team2,date,time,courtNo
181,Squash,Women,League,IIT Madras,upcoming,1,A,IIT BOMBAY,IIT (BHU) VARANASI,15/12/2025,9:00 AM,1
182,Squash,Women,League,IIT Madras,upcoming,2,B,IIT DELHI,IIT INDORE,15/12/2025,10:00 AM,1
183,Squash,Women,League,IIT Madras,upcoming,3,C,IIT MADRAS,IIT HYDERABAD,15/12/2025,11:00 AM,1
184,Squash,Women,League,IIT Madras,upcoming,4,D,IIT KANPUR,IIT MANDI,15/12/2025,12:00 PM,1
185,Squash,Women,League,IIT Madras,upcoming,5,B,IIT PATNA,IIT ROORKEE,15/12/2025,3:00 PM,1
186,Squash,Women,League,IIT Madras,upcoming,6,C,IIT JODHPUR,IIT GANDHINAGAR,15/12/2025,4:00 PM,1
187,Squash,Women,League,IIT Madras,upcoming,7,D,IIT KHARAGPUR,IIT (ISM) DHANBAD,15/12/2025,5:00 PM,1
188,Squash,Women,League,IIT Madras,upcoming,8,B,IIT DELHI,IIT ROORKEE,16/12/2025,9:00 AM,1
189,Squash,Women,League,IIT Madras,upcoming,9,C,IIT MADRAS,IIT GANDHINAGAR,16/12/2025,10:00 AM,1
190,Squash,Women,League,IIT Madras,upcoming,10,D,IIT KANPUR,IIT (ISM) DHANBAD,16/12/2025,11:00 AM,1
191,Squash,Women,League,IIT Madras,upcoming,11,A,IIT GUWAHATI,IIT (BHU) VARANASI,16/12/2025,12:00 PM,1
192,Squash,Women,League,IIT Madras,upcoming,12,B,IIT PATNA,IIT INDORE,16/12/2025,3:00 PM,1
193,Squash,Women,League,IIT Madras,upcoming,13,C,IIT JODHPUR,IIT HYDERABAD,16/12/2025,4:00 PM,1
194,Squash,Women,League,IIT Madras,upcoming,14,D,IIT KHARAGPUR,IIT MANDI,16/12/2025,5:00 PM,1
195,Squash,Women,League,IIT Madras,upcoming,15,A,IIT BOMBAY,IIT GUWAHATI,17/12/2025,9:00 AM,1
196,Squash,Women,League,IIT Madras,upcoming,16,B,IIT DELHI,IIT PATNA,17/12/2025,10:00 AM,1
197,Squash,Women,League,IIT Madras,upcoming,17,C,IIT MADRAS,IIT JODHPUR,17/12/2025,11:00 AM,1
198,Squash,Women,League,IIT Madras,upcoming,18,D,IIT KANPUR,IIT KHARAGPUR,17/12/2025,12:00 PM,1
199,Squash,Women,League,IIT Madras,upcoming,19,B,IIT INDORE,IIT ROORKEE,17/12/2025,3:00 PM,1
200,Squash,Women,League,IIT Madras,upcoming,20,C,IIT HYDERABAD,IIT GANDHINAGAR,17/12/2025,4:00 PM,1
201,Squash,Women,League,IIT Madras,upcoming,21,D,IIT MANDI,IIT (ISM) DHANBAD,17/12/2025,5:00 PM,1
202,Squash,Women,Quarter Final,IIT Madras,upcoming,22,QF1,WINNER OF POOL A,RUNNER-UP OF POOL C,19/12/2025,4:00 PM,1
203,Squash,Women,Quarter Final,IIT Madras,upcoming,23,QF 2,WINNER OF POOL B,RUNNER-UP OF POOL D,19/12/2025,4:00 PM,2
204,Squash,Women,Quarter Final,IIT Madras,upcoming,24,QF 3,WINNER OF POOL C,RUNNER-UP OF POOL A,19/12/2025,5:00 PM,1
205,Squash,Women,Quarter Final,IIT Madras,upcoming,25,QF 4,WINNER OF POOL D,RUNNER-UP OF POOL B,19/12/2025,5:00 PM,2
206,Squash,Women,Semi Final,IIT Madras,upcoming,26,SF 1,WINNER OF QF 1,WINNER OF QF 4,20/12/2025,10:00 AM,1
207,Squash,Women,Semi Final,IIT Madras,upcoming,27,SF 2,WINNER OF QF 2,WINNER OF QF 3,20/12/2025,10:00 AM,2
208,Squash,Women,3rd Place,IIT Madras,upcoming,28,3RD PLACE,LOSER OF SF 1,LOSER OF SF 2,21/12/2025,9:00 AM,1
209,Squash,Women,Finals,IIT Madras,upcoming,29,FINALS,WINNER OF SF 1,WINNER OF SF 2,21/12/2025,10:00 AM,2
210,Table Tennis,Men,League,IIT Madras,upcoming,1,A,IIT KANPUR,IIT BHUBANESWAR,15/12/2025,10:30 AM,1
211,Table Tennis,Men,League,IIT Madras,upcoming,2,B,IIT ROORKEE,IIT TIRUPATI,15/12/2025,10:30 AM,2
212,Table Tennis,Men,League,IIT Madras,upcoming,3,C,IIT GANDHINAGAR,IIT JODHPUR,15/12/2025,10:30 AM,3
213,Table Tennis,Men,League,IIT Madras,upcoming,4,D,IIT GUWAHATI,IIT GOA,15/12/2025,10:30 AM,4
214,Table Tennis,Men,League,IIT Madras,upcoming,5,E,IIT KHARAGPUR,IIT MANDI,15/12/2025,3:30 PM,1
215,Table Tennis,Men,League,IIT Madras,upcoming,6,F,IIT (BHU) VARANASI,IIT (ISM) DHANBAD,15/12/2025,3:30 PM,2
216,Table Tennis,Men,League,IIT Madras,upcoming,7,G,IIT DELHI,IIT BHILAI,15/12/2025,3:30 PM,3
217,Table Tennis,Men,League,IIT Madras,upcoming,8,A,IIT JAMMU,IIT BHUBANESWAR,16/12/2025,10:30 AM,1
218,Table Tennis,Men,League,IIT Madras,upcoming,9,B,IIT PATNA,IIT TIRUPATI,16/12/2025,10:30 AM,2
219,Table Tennis,Men,League,IIT Madras,upcoming,10,C,IIT DHARWAD,IIT JODHPUR,16/12/2025,10:30 AM,3
220,Table Tennis,Men,League,IIT Madras,upcoming,11,D,IIT HYDERABAD,IIT GOA,16/12/2025,10:30 AM,4
221,Table Tennis,Men,League,IIT Madras,upcoming,12,E,IIT BOMBAY,IIT MANDI,16/12/2025,3:30 PM,1
222,Table Tennis,Men,League,IIT Madras,upcoming,13,F,IIT PALAKKAD,IIT (ISM) DHANBAD,16/12/2025,3:30 PM,2
223,Table Tennis,Men,League,IIT Madras,upcoming,14,G,IIT INDORE,IIT BHILAI,16/12/2025,3:30 PM,3
224,Table Tennis,Men,League,IIT Madras,upcoming,15,A,IIT KANPUR,IIT JAMMU,17/12/2025,10:30 AM,1
225,Table Tennis,Men,League,IIT Madras,upcoming,16,B,IIT ROORKEE,IIT PATNA,17/12/2025,10:30 AM,2
226,Table Tennis,Men,League,IIT Madras,upcoming,17,C,IIT GANDHINAGAR,IIT DHARWAD,17/12/2025,10:30 AM,3
227,Table Tennis,Men,League,IIT Madras,upcoming,18,D,IIT GUWAHATI,IIT HYDERABAD,17/12/2025,10:30 AM,4
228,Table Tennis,Men,League,IIT Madras,upcoming,19,E,IIT KHARAGPUR,IIT BOMBAY,17/12/2025,3:30 PM,1
229,Table Tennis,Men,League,IIT Madras,upcoming,20,F,IIT (BHU) VARANASI,IIT PALAKKAD,17/12/2025,3:30 PM,2
230,Table Tennis,Men,League,IIT Madras,upcoming,21,G,IIT DELHI,IIT INDORE,17/12/2025,3:30 PM,3
231,Table Tennis,Men,League,IIT Madras,upcoming,22,H,IIT MADRAS,IIT ROPAR,17/12/2025,3:30 PM,4
232,Table Tennis,Men,Pre-Quarter Final,IIT Madras,upcoming,23,PQF 1,WINNER OF POOL A,RUNNER-UP OF POOL C,18/12/2025,10:30 AM,1
233,Table Tennis,Men,Pre-Quarter Final,IIT Madras,upcoming,24,PQF 2,WINNER OF POOL B,RUNNER-UP OF POOL D,18/12/2025,10:30 AM,2
234,Table Tennis,Men,Pre-Quarter Final,IIT Madras,upcoming,25,PQF 3,WINNER OF POOL C,RUNNER-UP OF POOL A,18/12/2025,10:30 AM,3
235,Table Tennis,Men,Pre-Quarter Final,IIT Madras,upcoming,26,PQF 4,WINNER OF POOL D,RUNNER-UP OF POOL B,18/12/2025,10:30 AM,4
236,Table Tennis,Men,Pre-Quarter Final,IIT Madras,upcoming,27,PQF 5,WINNER OF POOL E,RUNNER-UP OF POOL G,18/12/2025,3:30 PM,1
237,Table Tennis,Men,Pre-Quarter Final,IIT Madras,upcoming,28,PQF 6,WINNER OF POOL F,RUNNER-UP OF POOL H,18/12/2025,3:30 PM,2
238,Table Tennis,Men,Pre-Quarter Final,IIT Madras,upcoming,29,PQF 7,WINNER OF POOL G,RUNNER-UP OF POOL E,18/12/2025,3:30 PM,3
